,ISO language name,639-1,639-2/T,639-2/B,639-3,Notes
137,Sango,sg,sag,sag,sag,
138,Sanskrit,sa,san,san,san,ancient
139,Sardinian,sc,srd,srd,srd + 4,macrolanguage
140,Serbian,sr,srp,srp,srp,the ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2]
141,Shona,sn,sna,sna,sna,
142,Sindhi,sd,snd,snd,snd,
143,"Sinhala, Sinhalese",si,sin,sin,sin,
144,Slovak,sk,slk,slo,slk,
145,Slovenian,sl,slv,slv,slv,also known as Slovene
146,Somali,so,som,som,som,
147,Southern Sotho,st,sot,sot,sot,
148,"Spanish, Castilian",es,spa,spa,spa,
149,Sundanese,su,sun,sun,sun,
150,Swahili,sw,swa,swa,swa + 2,macrolanguage
151,Swati,ss,ssw,ssw,ssw,also known as Swazi
152,Swedish,sv,swe,swe,swe,
153,Tagalog,tl,tgl,tgl,tgl,note: Filipino (Pilipino) has the code fil
154,Tahitian,ty,tah,tah,tah,one of the Reo Mā`ohi (languages of French Polynesia)[3]
155,Tajik,tg,tgk,tgk,tgk,
156,Tamil,ta,tam,tam,tam,
157,Tatar,tt,tat,tat,tat,
158,Telugu,te,tel,tel,tel,
159,Thai,th,tha,tha,tha,
160,Tibetan,bo,bod,tib,bod,also known as Standard Tibetan
161,Tigrinya,ti,tir,tir,tir,
162,Tonga (Tonga Islands),to,ton,ton,ton,also known as Tongan
163,Tsonga,ts,tso,tso,tso,
164,Tswana,tn,tsn,tsn,tsn,
165,Turkish,tr,tur,tur,tur,
166,Turkmen,tk,tuk,tuk,tuk,
167,Twi,tw,twi,twi,twi,covered by macrolanguage ak/aka
168,"Uighur, Uyghur",ug,uig,uig,uig,
169,Ukrainian,uk,ukr,ukr,ukr,
170,Urdu,ur,urd,urd,urd,
171,Uzbek,uz,uzb,uzb,uzb + 2,macrolanguage
172,Venda,ve,ven,ven,ven,
173,Vietnamese,vi,vie,vie,vie,
174,Volapük,vo,vol,vol,vol,constructed
175,Walloon,wa,wln,wln,wln,
176,Welsh,cy,cym,wel,cym,
177,Wolof,wo,wol,wol,wol,
178,Xhosa,xh,xho,xho,xho,
179,Yiddish,yi,yid,yid,yid + 2,"macrolanguage. Changed in 1989 from original ISO 639:1988, ji.[1]"
180,Yoruba,yo,yor,yor,yor,
181,"Zhuang, Chuang",za,zha,zha,zha + 16,macrolanguage
182,Zulu,zu,zul,zul,zul,
